No,Product Type,Keywords,Primary (Hex),Secondary (Hex),CTA (Hex),Background (Hex),Text (Hex),Border (Hex),Notes,Tailwind_Config,Glow_Effects,Dark_Mode_Colors,Semantic_Mapping,Data_Viz_Palette,Semantic_Tokens
33,Hyperlocal Services,"hyperlocal, services, taskrabbit, nextdoor, thumbtack, local, map, marketplace, neighborhood, proximity, gig economy",#1A6B7C,#10B981,#E85A3D,#F8FAFB,#1A2E35,#D1E4E8,2026 Hyperlocal Service Marketplace: Map trust teal #1A6B7C (TaskRabbit/Nextdoor UI trust) + Proximity green #10B981 (nearby/available indicators) + Clay coral CTA #E85A3D (high-converting booking action) + Cloud Dancer inspired BG #F8FAFB (Pantone 2026) + Distance gradient (green→gray for near→far) + Service category colors (Home=#1A6B7C Personal=#8B5CF6 Delivery=#059669) + Map-first modern aesthetic,"{ primary: '#1A6B7C', secondary: '#10B981', cta: '#E85A3D', background: '#F8FAFB', foreground: '#1A2E35' }","box-shadow: 0 0 22px rgba(232,90,61,0.45); text-shadow: 0 0 12px rgba(26,107,124,0.5);","{ background: '#0F1A1D', text: '#F8FAFB', primary: '#2A8B9C', secondary: '#34D399', cta: '#FF7A5C', border: '#1E3A42' }","{""background"":""#F8FAFB"",""foreground"":""#1A2E35"",""primary"":""#1A6B7C"",""primary-foreground"":""#FFFFFF"",""secondary"":""#10B981"",""secondary-foreground"":""#FFFFFF"",""muted"":""#6B8A90"",""accent"":""#E85A3D"",""destructive"":""#EF4444"",""nearby"":""#10B981"",""moderate"":""#FACC15"",""far"":""#9CA3AF"",""home-service"":""#1A6B7C"",""personal-service"":""#8B5CF6"",""delivery-service"":""#059669""}","[""#10B981"",""#34D399"",""#86EFAC"",""#FACC15"",""#D1D5DB"",""#9CA3AF"",""#6B7280""]","{""background"":""#F8FAFB"",""foreground"":""#1A2E35"",""card"":""#FFFFFF"",""card-foreground"":""#1A2E35"",""popover"":""#FFFFFF"",""popover-foreground"":""#1A2E35"",""primary"":""#1A6B7C"",""primary-foreground"":""#FFFFFF"",""secondary"":""#10B981"",""secondary-foreground"":""#FFFFFF"",""muted"":""#F1F5F9"",""muted-foreground"":""#6B8A90"",""accent"":""#E85A3D"",""accent-foreground"":""#FFFFFF"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""nearby"":""#10B981"",""nearby-foreground"":""#FFFFFF"",""moderate"":""#FACC15"",""moderate-foreground"":""#000000"",""far"":""#9CA3AF"",""far-foreground"":""#FFFFFF"",""border"":""#D1E4E8"",""input"":""#E2E8F0"",""ring"":""#1A6B7C""}"
34,Beauty/Spa/Wellness Service,"beauty, spa, wellness, service",#10B981,#34D399,#8B5CF6,#ECFDF5,#064E3B,#A7F3D0,Soft pastels (Pink #FFB6C1 Sage #90EE90) + Cream + Gold accents,"{ primary: '#10B981', secondary: '#34D399', cta: '#8B5CF6', background: '#ECFDF5', foreground: '#064E3B' }","box-shadow: 0 0 20px rgba(139,92,246,0.4); text-shadow: 0 0 10px rgba(139,92,246,0.6);","{ background: '#0A0A0A', text: '#F8FAFC', primary: '#10B981', secondary: '#34D399', cta: '#8B5CF6', border: '#27272A' }","{""background"":""#ECFDF5"",""foreground"":""#064E3B"",""primary"":""#10B981"",""primary-foreground"":""#000000"",""secondary"":""#34D399"",""secondary-foreground"":""#000000"",""muted"":""#11dca6"",""accent"":""#8B5CF6"",""destructive"":""#EF4444""}","[""#40efb5"",""#14e8a2"",""#10B981"",""#0c8a60"",""#085b40"",""#34d399"",""#26ae7c""]","{""background"":""#ECFDF5"",""foreground"":""#064E3B"",""card"":""#FFFFFF"",""card-foreground"":""#064E3B"",""popover"":""#FFFFFF"",""popover-foreground"":""#064E3B"",""primary"":""#10B981"",""primary-foreground"":""#000000"",""secondary"":""#34D399"",""secondary-foreground"":""#000000"",""muted"":""#F4F4F5"",""muted-foreground"":""#71717A"",""accent"":""#8B5CF6"",""accent-foreground"":""#FFFFFF"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#A7F3D0"",""input"":""#A7F3D0"",""ring"":""#10B981""}"
35,Luxury/Premium Brand,"luxury, premium, brand",#1C1917,#44403C,#CA8A04,#FAFAF9,#0C0A09,#D6D3D1,Black + Gold (#FFD700) + White + Minimal accent,"{ primary: '#1C1917', secondary: '#44403C', cta: '#CA8A04', background: '#FAFAF9', foreground: '#0C0A09' }","box-shadow: 0 0 20px rgba(202,138,4,0.4); text-shadow: 0 0 10px rgba(202,138,4,0.6);","{ background: '#0A0A0A', text: '#F8FAFC', primary: '#272320', secondary: '#58534E', cta: '#CA8A04', border: '#27272A' }","{""background"":""#FAFAF9"",""foreground"":""#0C0A09"",""primary"":""#1C1917"",""primary-foreground"":""#FFFFFF"",""secondary"":""#44403C"",""secondary-foreground"":""#FFFFFF"",""muted"":""#63534b"",""accent"":""#CA8A04"",""destructive"":""#EF4444""}","[""#544b45"",""#38322e"",""#1C1917"",""#000000"",""#000000"",""#44403c"",""#292624""]","{""background"":""#FAFAF9"",""foreground"":""#0C0A09"",""card"":""#FFFFFF"",""card-foreground"":""#0C0A09"",""popover"":""#FFFFFF"",""popover-foreground"":""#0C0A09"",""primary"":""#1C1917"",""primary-foreground"":""#FFFFFF"",""secondary"":""#44403C"",""secondary-foreground"":""#FFFFFF"",""muted"":""#F4F4F5"",""muted-foreground"":""#71717A"",""accent"":""#CA8A04"",""accent-foreground"":""#000000"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#D6D3D1"",""input"":""#D6D3D1"",""ring"":""#1C1917""}"
36,Restaurant/Food Service,"restaurant, food, service",#DC2626,#F87171,#CA8A04,#FEF2F2,#450A0A,#FECACA,Warm colors (Orange Red Brown) + appetizing imagery,"{ primary: '#DC2626', secondary: '#F87171', cta: '#CA8A04', background: '#FEF2F2', foreground: '#450A0A' }","box-shadow: 0 0 20px rgba(202,138,4,0.4); text-shadow: 0 0 10px rgba(202,138,4,0.6);","{ background: '#0A0A0A', text: '#F8FAFC', primary: '#DC2626', secondary: '#F87171', cta: '#CA8A04', border: '#27272A' }","{""background"":""#FEF2F2"",""foreground"":""#450A0A"",""primary"":""#DC2626"",""primary-foreground"":""#FFFFFF"",""secondary"":""#F87171"",""secondary-foreground"":""#000000"",""muted"":""#cb1d1d"",""accent"":""#CA8A04"",""destructive"":""#EF4444""}","[""#ea7e7e"",""#e35252"",""#DC2626"",""#b21d1d"",""#861616"",""#f87171"",""#f64040""]","{""background"":""#FEF2F2"",""foreground"":""#450A0A"",""card"":""#FFFFFF"",""card-foreground"":""#450A0A"",""popover"":""#FFFFFF"",""popover-foreground"":""#450A0A"",""primary"":""#DC2626"",""primary-foreground"":""#FFFFFF"",""secondary"":""#F87171"",""secondary-foreground"":""#000000"",""muted"":""#F4F4F5"",""muted-foreground"":""#71717A"",""accent"":""#CA8A04"",""accent-foreground"":""#000000"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#FECACA"",""input"":""#FECACA"",""ring"":""#DC2626""}"
37,Fitness/Gym App,"fitness, gym, app",#DC2626,#F87171,#16A34A,#FEF2F2,#1F2937,#FECACA,Energetic (Orange #FF6B35 Electric Blue) + Dark bg,"{ primary: '#DC2626', secondary: '#F87171', cta: '#16A34A', background: '#FEF2F2', foreground: '#1F2937' }","box-shadow: 0 0 20px rgba(22,163,74,0.4); text-shadow: 0 0 10px rgba(22,163,74,0.6);","{ background: '#0A0A0A', text: '#F8FAFC', primary: '#DC2626', secondary: '#F87171', cta: '#16A34A', border: '#27272A' }","{""background"":""#FEF2F2"",""foreground"":""#1F2937"",""primary"":""#DC2626"",""primary-foreground"":""#FFFFFF"",""secondary"":""#F87171"",""secondary-foreground"":""#000000"",""muted"":""#567299"",""accent"":""#16A34A"",""destructive"":""#EF4444""}","[""#ea7e7e"",""#e35252"",""#DC2626"",""#b21d1d"",""#861616"",""#f87171"",""#f64040""]","{""background"":""#FEF2F2"",""foreground"":""#1F2937"",""card"":""#FFFFFF"",""card-foreground"":""#1F2937"",""popover"":""#FFFFFF"",""popover-foreground"":""#1F2937"",""primary"":""#DC2626"",""primary-foreground"":""#FFFFFF"",""secondary"":""#F87171"",""secondary-foreground"":""#000000"",""muted"":""#F4F4F5"",""muted-foreground"":""#71717A"",""accent"":""#16A34A"",""accent-foreground"":""#FFFFFF"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#FECACA"",""input"":""#FECACA"",""ring"":""#DC2626""}"
38,Real Estate/Property,"real, estate, property",#0F766E,#14B8A6,#0369A1,#F0FDFA,#134E4A,#99F6E4,Trust Blue (#0077B6) + Gold accents + White,"{ primary: '#0F766E', secondary: '#14B8A6', cta: '#0369A1', background: '#F0FDFA', foreground: '#134E4A' }","box-shadow: 0 0 20px rgba(3,105,161,0.4); text-shadow: 0 0 10px rgba(3,105,161,0.6);","{ background: '#0A0A0A', text: '#F8FAFC', primary: '#0F766E', secondary: '#14B8A6', cta: '#037EC1', border: '#27272A' }","{""background"":""#F0FDFA"",""foreground"":""#134E4A"",""primary"":""#0F766E"",""primary-foreground"":""#FFFFFF"",""secondary"":""#14B8A6"",""secondary-foreground"":""#000000"",""muted"":""#31c9bf"",""accent"":""#0369A1"",""destructive"":""#EF4444""}","[""#1bd0c2"",""#15a398"",""#0F766E"",""#094944"",""#031b1a"",""#14b8a6"",""#0f8a7c""]","{""background"":""#F0FDFA"",""foreground"":""#134E4A"",""card"":""#FFFFFF"",""card-foreground"":""#134E4A"",""popover"":""#FFFFFF"",""popover-foreground"":""#134E4A"",""primary"":""#0F766E"",""primary-foreground"":""#FFFFFF"",""secondary"":""#14B8A6"",""secondary-foreground"":""#000000"",""muted"":""#F4F4F5"",""muted-foreground"":""#71717A"",""accent"":""#0369A1"",""accent-foreground"":""#FFFFFF"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#99F6E4"",""input"":""#99F6E4"",""ring"":""#0F766E""}"
39,Travel/Tourism Agency,"travel, tourism, agency",#EC4899,#F472B6,#06B6D4,#FDF2F8,#831843,#FBCFE8,Vibrant destination colors + Sky Blue + Warm accents,"{ primary: '#EC4899', secondary: '#F472B6', cta: '#06B6D4', background: '#FDF2F8', foreground: '#831843' }","box-shadow: 0 0 20px rgba(6,182,212,0.4); text-shadow: 0 0 10px rgba(6,182,212,0.6);","{ background: '#0A0A0A', text: '#F8FAFC', primary: '#EC4899', secondary: '#F472B6', cta: '#06B6D4', border: '#27272A' }","{""background"":""#FDF2F8"",""foreground"":""#831843"",""primary"":""#EC4899"",""primary-foreground"":""#000000"",""secondary"":""#F472B6"",""secondary-foreground"":""#000000"",""muted"":""#e0548c"",""accent"":""#06B6D4"",""destructive"":""#EF4444""}","[""#f6a4cc"",""#f176b3"",""#EC4899"",""#e71a7f"",""#bb1366"",""#f472b6"",""#f0439d""]","{""background"":""#FDF2F8"",""foreground"":""#831843"",""card"":""#FFFFFF"",""card-foreground"":""#831843"",""popover"":""#FFFFFF"",""popover-foreground"":""#831843"",""primary"":""#EC4899"",""primary-foreground"":""#000000"",""secondary"":""#F472B6"",""secondary-foreground"":""#000000"",""muted"":""#F4F4F5"",""muted-foreground"":""#71717A"",""accent"":""#06B6D4"",""accent-foreground"":""#000000"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#FBCFE8"",""input"":""#FBCFE8"",""ring"":""#EC4899""}"
40,Hotel/Hospitality,"hotel, hospitality",#1E3A8A,#3B82F6,#CA8A04,#F8FAFC,#1E40AF,#BFDBFE,Warm neutrals + Gold (#D4AF37) + Brand accent,"{ primary: '#1E3A8A', secondary: '#3B82F6', cta: '#CA8A04', background: '#F8FAFC', foreground: '#1E40AF' }","box-shadow: 0 0 20px rgba(202,138,4,0.4); text-shadow: 0 0 10px rgba(202,138,4,0.6);","{ background: '#0A0A0A', text: '#F8FAFC', primary: '#2A51C1', secondary: '#3B82F6', cta: '#CA8A04', border: '#27272A' }","{""background"":""#F8FAFC"",""foreground"":""#1E40AF"",""primary"":""#1E3A8A"",""primary-foreground"":""#FFFFFF"",""secondary"":""#3B82F6"",""secondary-foreground"":""#FFFFFF"",""muted"":""#7d96e9"",""accent"":""#CA8A04"",""destructive"":""#EF4444""}","[""#3a62d4"",""#274cb4"",""#1E3A8A"",""#152860"",""#0c1736"",""#3b82f6"",""#0b63f3""]","{""background"":""#F8FAFC"",""foreground"":""#1E40AF"",""card"":""#FFFFFF"",""card-foreground"":""#1E40AF"",""popover"":""#FFFFFF"",""popover-foreground"":""#1E40AF"",""primary"":""#1E3A8A"",""primary-foreground"":""#FFFFFF"",""secondary"":""#3B82F6"",""secondary-foreground"":""#FFFFFF"",""muted"":""#F4F4F5"",""muted-foreground"":""#71717A"",""accent"":""#CA8A04"",""accent-foreground"":""#000000"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#BFDBFE"",""input"":""#BFDBFE"",""ring"":""#1E3A8A""}"
41,Wedding/Event Planning,"wedding, event, planning",#7C3AED,#A78BFA,#F97316,#FAF5FF,#4C1D95,#DDD6FE,Soft Pink (#FFD6E0) + Gold + Cream + Sage,"{ primary: '#7C3AED', secondary: '#A78BFA', cta: '#F97316', background: '#FAF5FF', foreground: '#4C1D95' }","box-shadow: 0 0 20px rgba(249,115,22,0.4); text-shadow: 0 0 10px rgba(249,115,22,0.6);","{ background: '#0A0A0A', text: '#F8FAFC', primary: '#7C3AED', secondary: '#A78BFA', cta: '#F97316', border: '#27272A' }","{""background"":""#FAF5FF"",""foreground"":""#4C1D95"",""primary"":""#7C3AED"",""primary-foreground"":""#FFFFFF"",""secondary"":""#A78BFA"",""secondary-foreground"":""#000000"",""muted"":""#9869e2"",""accent"":""#F97316"",""destructive"":""#EF4444""}","[""#ba97f6"",""#9b69f1"",""#7C3AED"",""#5f14e0"",""#4b10b1"",""#a78bfa"",""#825af8""]","{""background"":""#FAF5FF"",""foreground"":""#4C1D95"",""card"":""#FFFFFF"",""card-foreground"":""#4C1D95"",""popover"":""#FFFFFF"",""popover-foreground"":""#4C1D95"",""primary"":""#7C3AED"",""primary-foreground"":""#FFFFFF"",""secondary"":""#A78BFA"",""secondary-foreground"":""#000000"",""muted"":""#F4F4F5"",""muted-foreground"":""#71717A"",""accent"":""#F97316"",""accent-foreground"":""#000000"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#DDD6FE"",""input"":""#DDD6FE"",""ring"":""#7C3AED""}"
42,Legal Services,"legal, services",#1E3A8A,#1E40AF,#B45309,#F8FAFC,#0F172A,#CBD5E1,Navy Blue (#1E3A5F) + Gold + White,"{ primary: '#1E3A8A', secondary: '#1E40AF', cta: '#B45309', background: '#F8FAFC', foreground: '#0F172A' }","box-shadow: 0 0 20px rgba(180,83,9,0.4); text-shadow: 0 0 10px rgba(180,83,9,0.6);","{ background: '#0A0A0A', text: '#F8FAFC', primary: '#2A51C1', secondary: '#2753E3', cta: '#B45309', border: '#27272A' }","{""background"":""#F8FAFC"",""foreground"":""#0F172A"",""primary"":""#1E3A8A"",""primary-foreground"":""#FFFFFF"",""secondary"":""#1E40AF"",""secondary-foreground"":""#FFFFFF"",""muted"":""#37559b"",""accent"":""#B45309"",""destructive"":""#EF4444""}","[""#3a62d4"",""#274cb4"",""#1E3A8A"",""#152860"",""#0c1736"",""#1e40af"",""#173083""]","{""background"":""#F8FAFC"",""foreground"":""#0F172A"",""card"":""#FFFFFF"",""card-foreground"":""#0F172A"",""popover"":""#FFFFFF"",""popover-foreground"":""#0F172A"",""primary"":""#1E3A8A"",""primary-foreground"":""#FFFFFF"",""secondary"":""#1E40AF"",""secondary-foreground"":""#FFFFFF"",""muted"":""#F4F4F5"",""muted-foreground"":""#71717A"",""accent"":""#B45309"",""accent-foreground"":""#FFFFFF"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#CBD5E1"",""input"":""#CBD5E1"",""ring"":""#1E3A8A""}"
43,Insurance Platform,"insurance, platform, insurtech, lemonade, progressive, geico",#0053BA,#10B981,#FF6B35,#F8FAFC,#0F172A,#E2E8F0,2026 Insurtech: Progressive Trust Blue #0053BA + Security Green #10B981 + Warm Orange CTA #FF6B35 for approachable modern insurance UI,"{ primary: '#0053BA', secondary: '#10B981', cta: '#FF6B35', background: '#F8FAFC', foreground: '#0F172A' }","box-shadow: 0 0 20px rgba(255,107,53,0.4); text-shadow: 0 0 10px rgba(16,185,129,0.5);","{ background: '#0A1628', text: '#F8FAFC', primary: '#2D95E5', secondary: '#34D399', cta: '#FF6B35', border: '#1E3A5A' }","{""background"":""#F8FAFC"",""foreground"":""#0F172A"",""primary"":""#0053BA"",""primary-foreground"":""#FFFFFF"",""secondary"":""#10B981"",""secondary-foreground"":""#FFFFFF"",""muted"":""#64748B"",""accent"":""#FF6B35"",""destructive"":""#EF4444""}","[""#2D95E5"",""#0053BA"",""#003D8A"",""#10B981"",""#059669"",""#FF6B35"",""#E85A2C""]","{""background"":""#F8FAFC"",""foreground"":""#0F172A"",""card"":""#FFFFFF"",""card-foreground"":""#0F172A"",""popover"":""#FFFFFF"",""popover-foreground"":""#0F172A"",""primary"":""#0053BA"",""primary-foreground"":""#FFFFFF"",""secondary"":""#10B981"",""secondary-foreground"":""#FFFFFF"",""muted"":""#F1F5F9"",""muted-foreground"":""#64748B"",""accent"":""#FF6B35"",""accent-foreground"":""#FFFFFF"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#E2E8F0"",""input"":""#E2E8F0"",""ring"":""#0053BA""}"
44,Banking/Traditional Finance,"banking, traditional, finance",#0F766E,#14B8A6,#0369A1,#F0FDFA,#134E4A,#99F6E4,Navy (#0A1628) + Trust Blue + Gold accents,"{ primary: '#0F766E', secondary: '#14B8A6', cta: '#0369A1', background: '#F0FDFA', foreground: '#134E4A' }","box-shadow: 0 0 20px rgba(3,105,161,0.4); text-shadow: 0 0 10px rgba(3,105,161,0.6);","{ background: '#0A0A0A', text: '#F8FAFC', primary: '#0F766E', secondary: '#14B8A6', cta: '#037EC1', border: '#27272A' }","{""background"":""#F0FDFA"",""foreground"":""#134E4A"",""primary"":""#0F766E"",""primary-foreground"":""#FFFFFF"",""secondary"":""#14B8A6"",""secondary-foreground"":""#000000"",""muted"":""#31c9bf"",""accent"":""#0369A1"",""destructive"":""#EF4444""}","[""#1bd0c2"",""#15a398"",""#0F766E"",""#094944"",""#031b1a"",""#14b8a6"",""#0f8a7c""]","{""background"":""#F0FDFA"",""foreground"":""#134E4A"",""card"":""#FFFFFF"",""card-foreground"":""#134E4A"",""popover"":""#FFFFFF"",""popover-foreground"":""#134E4A"",""primary"":""#0F766E"",""primary-foreground"":""#FFFFFF"",""secondary"":""#14B8A6"",""secondary-foreground"":""#000000"",""muted"":""#F4F4F5"",""muted-foreground"":""#71717A"",""accent"":""#0369A1"",""accent-foreground"":""#FFFFFF"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#99F6E4"",""input"":""#99F6E4"",""ring"":""#0F766E""}"
45,Online Course/E-learning,"online, course, learning",#0D9488,#2DD4BF,#EA580C,#F0FDFA,#134E4A,#5EEAD4,Vibrant learning colors + Progress green,"{ primary: '#0D9488', secondary: '#2DD4BF', cta: '#EA580C', background: '#F0FDFA', foreground: '#134E4A' }","box-shadow: 0 0 20px rgba(234,88,12,0.4); text-shadow: 0 0 10px rgba(234,88,12,0.6);","{ background: '#0A0A0A', text: '#F8FAFC', primary: '#0D9488', secondary: '#2DD4BF', cta: '#EA580C', border: '#27272A' }","{""background"":""#F0FDFA"",""foreground"":""#134E4A"",""primary"":""#0D9488"",""primary-foreground"":""#FFFFFF"",""secondary"":""#2DD4BF"",""secondary-foreground"":""#000000"",""muted"":""#31c9bf"",""accent"":""#EA580C"",""destructive"":""#EF4444""}","[""#1cebd9"",""#11c3b3"",""#0D9488"",""#09655d"",""#053632"",""#2dd4bf"",""#23ab9a""]","{""background"":""#F0FDFA"",""foreground"":""#134E4A"",""card"":""#FFFFFF"",""card-foreground"":""#134E4A"",""popover"":""#FFFFFF"",""popover-foreground"":""#134E4A"",""primary"":""#0D9488"",""primary-foreground"":""#FFFFFF"",""secondary"":""#2DD4BF"",""secondary-foreground"":""#000000"",""muted"":""#F4F4F5"",""muted-foreground"":""#71717A"",""accent"":""#EA580C"",""accent-foreground"":""#FFFFFF"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#5EEAD4"",""input"":""#5EEAD4"",""ring"":""#0D9488""}"
46,Non-profit/Charity,"non, profit, charity",#0891B2,#22D3EE,#F97316,#ECFEFF,#164E63,#A5F3FC,Cause-related colors + Trust + Warm,"{ primary: '#0891B2', secondary: '#22D3EE', cta: '#F97316', background: '#ECFEFF', foreground: '#164E63' }","box-shadow: 0 0 20px rgba(249,115,22,0.4); text-shadow: 0 0 10px rgba(249,115,22,0.6);","{ background: '#0A0A0A', text: '#F8FAFC', primary: '#0891B2', secondary: '#22D3EE', cta: '#F97316', border: '#27272A' }","{""background"":""#ECFEFF"",""foreground"":""#164E63"",""primary"":""#0891B2"",""primary-foreground"":""#FFFFFF"",""secondary"":""#22D3EE"",""secondary-foreground"":""#000000"",""muted"":""#3eabd4"",""accent"":""#F97316"",""destructive"":""#EF4444""}","[""#2bcef5"",""#0ab9e3"",""#0891B2"",""#066981"",""#044150"",""#22d3ee"",""#10b4cd""]","{""background"":""#ECFEFF"",""foreground"":""#164E63"",""card"":""#FFFFFF"",""card-foreground"":""#164E63"",""popover"":""#FFFFFF"",""popover-foreground"":""#164E63"",""primary"":""#0891B2"",""primary-foreground"":""#FFFFFF"",""secondary"":""#22D3EE"",""secondary-foreground"":""#000000"",""muted"":""#F4F4F5"",""muted-foreground"":""#71717A"",""accent"":""#F97316"",""accent-foreground"":""#000000"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#A5F3FC"",""input"":""#A5F3FC"",""ring"":""#0891B2""}"
47,Music Streaming,"music, streaming, audio, spotify, podcast",#1DB954,#22C55E,#FA2D5C,#121212,#FFFFFF,#282828,Spotify Green (#1DB954) + Dark bg (#121212) + Vibrant accents + Album art adaptive,"{ primary: '#1DB954', secondary: '#22C55E', cta: '#FA2D5C', background: '#121212', foreground: '#FFFFFF' }","box-shadow: 0 0 24px rgba(29,185,84,0.5); text-shadow: 0 0 12px rgba(29,185,84,0.7);","{ background: '#121212', text: '#FFFFFF', primary: '#1DB954', secondary: '#22C55E', cta: '#FA2D5C', border: '#282828' }","{""background"":""#121212"",""foreground"":""#FFFFFF"",""primary"":""#1DB954"",""primary-foreground"":""#000000"",""secondary"":""#22C55E"",""secondary-foreground"":""#000000"",""muted"":""#282828"",""accent"":""#FA2D5C"",""destructive"":""#EF4444""}","[""#1ed760"",""#1DB954"",""#1aa34a"",""#178d40"",""#147736"",""#22c55e"",""#16a34a""]","{""background"":""#121212"",""foreground"":""#FFFFFF"",""card"":""#181818"",""card-foreground"":""#FFFFFF"",""popover"":""#282828"",""popover-foreground"":""#FFFFFF"",""primary"":""#1DB954"",""primary-foreground"":""#000000"",""secondary"":""#22C55E"",""secondary-foreground"":""#000000"",""muted"":""#282828"",""muted-foreground"":""#B3B3B3"",""accent"":""#FA2D5C"",""accent-foreground"":""#FFFFFF"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#282828"",""input"":""#3E3E3E"",""ring"":""#1DB954""}"
48,Video Streaming/OTT,"video, streaming, ott, netflix, hbo, disney, prime, hulu",#E50914,#9B59B6,#46D369,#121212,#E5E5E5,#1F1F1F,Netflix-inspired 2026 OTT: Cinematic dark #121212 + Brand red #E50914 + HBO purple #9B59B6 + Play green CTA #46D369 for immersive content-first viewing,"{ primary: '#E50914', secondary: '#9B59B6', cta: '#46D369', background: '#121212', foreground: '#E5E5E5' }","box-shadow: 0 0 24px rgba(229,9,20,0.5); text-shadow: 0 0 12px rgba(229,9,20,0.6);","{ background: '#121212', text: '#E5E5E5', primary: '#E50914', secondary: '#9B59B6', cta: '#46D369', border: '#1F1F1F' }","{""background"":""#121212"",""foreground"":""#E5E5E5"",""primary"":""#E50914"",""primary-foreground"":""#FFFFFF"",""secondary"":""#9B59B6"",""secondary-foreground"":""#FFFFFF"",""muted"":""#1F1F1F"",""accent"":""#46D369"",""destructive"":""#E50914""}","[""#FF3B4A"",""#E50914"",""#B8070F"",""#9B59B6"",""#7D3C98"",""#46D369"",""#2ECC71""]","{""background"":""#121212"",""foreground"":""#E5E5E5"",""card"":""#1A1A1A"",""card-foreground"":""#E5E5E5"",""popover"":""#1F1F1F"",""popover-foreground"":""#E5E5E5"",""primary"":""#E50914"",""primary-foreground"":""#FFFFFF"",""secondary"":""#9B59B6"",""secondary-foreground"":""#FFFFFF"",""muted"":""#2D2D2D"",""muted-foreground"":""#A3A3A3"",""accent"":""#46D369"",""accent-foreground"":""#000000"",""destructive"":""#E50914"",""destructive-foreground"":""#FFFFFF"",""border"":""#1F1F1F"",""input"":""#2D2D2D"",""ring"":""#E50914""}"
49,Job Board/Recruitment,"job, board, recruitment",#0F172A,#334155,#0369A1,#F8FAFC,#020617,#E2E8F0,Professional Blue + Success Green + Neutral,"{ primary: '#0F172A', secondary: '#334155', cta: '#0369A1', background: '#F8FAFC', foreground: '#020617' }","box-shadow: 0 0 20px rgba(3,105,161,0.4); text-shadow: 0 0 10px rgba(3,105,161,0.6);","{ background: '#0A0A0A', text: '#F8FAFC', primary: '#15203A', secondary: '#42546E', cta: '#037EC1', border: '#27272A' }","{""background"":""#F8FAFC"",""foreground"":""#020617"",""primary"":""#0F172A"",""primary-foreground"":""#FFFFFF"",""secondary"":""#334155"",""secondary-foreground"":""#FFFFFF"",""muted"":""#0e2ba4"",""accent"":""#0369A1"",""destructive"":""#EF4444""}","[""#2a4075"",""#1c2c50"",""#0F172A"",""#020204"",""#000000"",""#334155"",""#202935""]","{""background"":""#F8FAFC"",""foreground"":""#020617"",""card"":""#FFFFFF"",""card-foreground"":""#020617"",""popover"":""#FFFFFF"",""popover-foreground"":""#020617"",""primary"":""#0F172A"",""primary-foreground"":""#FFFFFF"",""secondary"":""#334155"",""secondary-foreground"":""#FFFFFF"",""muted"":""#F4F4F5"",""muted-foreground"":""#71717A"",""accent"":""#0369A1"",""accent-foreground"":""#FFFFFF"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#E2E8F0"",""input"":""#E2E8F0"",""ring"":""#0F172A""}"
