"STT","Style Category","Type","Keywords","Primary Colors","Secondary Colors","Effects & Animation","Best For","Do Not Use For","Light Mode ✓","Dark Mode ✓","Performance","Accessibility","Mobile-Friendly","Conversion-Focused","Framework Compatibility","Era/Origin","Complexity","CSS_Code","Motion_Config","Animation_Variants"
"11","Retro-Futurism","General","Vintage sci-fi, 80s aesthetic, neon glow, geometric patterns, CRT scanlines, pixel art, cyberpunk, synthwave","Neon Blue #0080FF, Hot Pink #FF006E, Cyan #00FFFF, Deep Black #1A1A2E, Purple #5D34D0","Metallic Silver #C0C0C0, Gold #FFD700, duotone, 80s Pink #FF10F0, neon accents","CRT scanlines (::before overlay), neon glow (text-shadow+box-shadow), glitch effects (skew/offset keyframes)","Gaming, entertainment, music platforms, tech brands, artistic projects, nostalgic, cyberpunk","Conservative industries, critical accessibility, professional/corporate, elderly, legal/finance","✓ Full","✓ Dark focused","⚠ Moderate","⚠ High contrast/strain","◐ Medium","◐ Medium","Tailwind 8/10, CSS-in-JS 9/10","1980s Retro","Medium",".retro-futurism { background: #1A1A2E; color: #00FFFF; text-shadow: 0 0 10px #00FFFF, 0 0 20px #FF006E; } .retro-futurism::before { content: ''; position: absolute; inset: 0; background: repeating-linear-gradient(0deg, transparent, transparent 2px, rgba(0,0,0,0.3) 2px, rgba(0,0,0,0.3) 4px); pointer-events: none; }","{""type"":""tween"",""ease"":""steps(5)"",""duration"":0.1}","{""hidden"":{""opacity"":0,""scale"":0.95,""x"":-10,""filter"":""brightness(2)""},""visible"":{""opacity"":1,""scale"":1,""x"":0,""filter"":""brightness(1)""},""hover"":{""x"":5,""filter"":""hue-rotate(90deg)""}}"
"12","Flat Design","General","2D, minimalist, bold colors, no shadows, clean lines, simple shapes, typography-focused, modern, icon-heavy","Solid bright: Red, Orange, Blue, Green, limited palette (4-6 max)","Complementary colors, muted secondaries, high saturation, clean accents","No gradients/shadows, simple hover (color/opacity shift), fast loading, clean transitions (150-200ms ease), minimal icons","Web apps, mobile apps, cross-platform, startup MVPs, user-friendly, SaaS, dashboards, corporate","Complex 3D, premium/luxury, artistic portfolios, immersive experiences, high-detail","✓ Full","✓ Full","⚡ Excellent","✓ WCAG AAA","✓ High","✓ High","Tailwind 10/10, Bootstrap 10/10, MUI 9/10","2010s Modern","Low",".flat { background: #3498DB; color: #FFFFFF; border: none; border-radius: 4px; box-shadow: none; transition: opacity 150ms ease; } .flat:hover { opacity: 0.85; }","{""type"":""tween"",""ease"":""easeInOut"",""duration"":0.3}","{""hidden"":{""opacity"":0,""y"":10},""visible"":{""opacity"":1,""y"":0},""hover"":{""y"":-2}}"
"13","Skeuomorphism","General","Realistic, texture, depth, 3D appearance, real-world metaphors, shadows, gradients, tactile, detailed, material","Rich realistic: wood, leather, metal colors, detailed gradients (8-12 stops), metallic effects","Realistic lighting gradients, shadow variations (30-50% darker), texture overlays, material colors","Realistic shadows (layers), depth (perspective), texture details (noise, grain), realistic animations (300-500ms)","Legacy apps, gaming, immersive storytelling, premium products, luxury, realistic simulations, education","Modern enterprise, critical accessibility, low-performance, web (use Flat/Modern)","◐ Partial","◐ Partial","❌ Poor","⚠ Textures reduce readability","✗ Low","◐ Medium","CSS-in-JS 7/10, Custom 8/10","2007-2012 iOS","High",".skeuomorphic { background: linear-gradient(180deg, #D4A574 0%, #8B6914 50%, #5D4E37 100%); border: 2px solid #3D3426; border-radius: 8px; box-shadow: 0 4px 8px rgba(0,0,0,0.3), inset 0 1px 0 rgba(255,255,255,0.2), inset 0 -1px 0 rgba(0,0,0,0.2); transition: all 400ms ease; }","{""type"":""spring"",""stiffness"":100,""damping"":15}","{""hidden"":{""opacity"":0,""y"":10},""visible"":{""opacity"":1,""y"":0},""hover"":{""y"":-2}}"
"14","Liquid Glass","General","Flowing glass, morphing, smooth transitions, fluid effects, translucent, animated blur, iridescent, chromatic aberration","Vibrant iridescent (rainbow spectrum), translucent base with opacity shifts, gradient fluidity","Chromatic aberration (Red-Cyan), iridescent oil-spill, fluid gradient blends, holographic effects","Morphing elements (SVG/CSS), fluid animations (400-600ms curves), dynamic blur (backdrop-filter), color transitions","Premium SaaS, high-end e-commerce, creative platforms, branding experiences, luxury portfolios","Performance-limited, critical accessibility, complex data, budget projects","✓ Full","✓ Full","⚠ Moderate-Poor","⚠ Text contrast","◐ Medium","✓ High","Framer Motion 10/10, GSAP 10/10","2020s Modern","High",".liquid-glass { background: linear-gradient(135deg, rgba(255,100,100,0.2), rgba(100,100,255,0.2)); backdrop-filter: blur(20px); border-radius: 24px; transition: all 500ms cubic-bezier(0.4, 0, 0.2, 1); } .liquid-glass:hover { backdrop-filter: blur(30px); transform: scale(1.02); }","{""type"":""spring"",""stiffness"":50,""damping"":20,""mass"":1.2}","{""hidden"":{""opacity"":0,""y"":20,""scale"":0.98},""visible"":{""opacity"":1,""y"":0,""scale"":1},""hover"":{""y"":-5,""boxShadow"":""0 10px 30px rgba(0,0,0,0.1)""}}"
"15","Motion-Driven","General","Animation-heavy, microinteractions, smooth transitions, scroll effects, parallax, entrance anim, page transitions","Bold colors emphasize movement, high contrast animated, dynamic gradients, accent action colors","Transitional states, success (Green #22C55E), error (Red #EF4444), neutral feedback","Scroll anim (Intersection Observer), hover (300-400ms), entrance, parallax (3-5 layers), page transitions","Portfolio sites, storytelling platforms, interactive experiences, entertainment apps, creative, SaaS","Data dashboards, critical accessibility, low-power devices, content-heavy, motion-sensitive","✓ Full","✓ Full","⚠ Good","⚠ Prefers-reduced-motion","✓ Good","✓ High","GSAP 10/10, Framer Motion 10/10","2020s Modern","High",".motion-driven { opacity: 0; transform: translateY(20px); transition: all 350ms ease-out; } .motion-driven.visible { opacity: 1; transform: translateY(0); } .motion-driven:hover { transform: scale(1.05); transition-duration: 300ms; }","{""type"":""spring"",""stiffness"":100,""damping"":15}","{""hidden"":{""opacity"":0,""y"":10},""visible"":{""opacity"":1,""y"":0},""hover"":{""y"":-2}}"
"16","Micro-interactions","General","Small animations, gesture-based, tactile feedback, subtle animations, contextual interactions, responsive","Subtle color shifts (10-20%), feedback: Green #22C55E, Red #EF4444, Amber #F59E0B","Accent feedback, neutral supporting, clear action indicators","Small hover (50-100ms), loading spinners, success/error state anim, gesture-triggered (swipe/pinch), haptic","Mobile apps, touchscreen UIs, productivity tools, user-friendly, consumer apps, interactive components","Desktop-only, critical performance, accessibility-first (alternatives needed)","✓ Full","✓ Full","⚡ Excellent","✓ Good","✓ High","✓ High","Framer Motion 10/10, React Spring 9/10","2020s Modern","Medium",".micro-interaction { transition: all 80ms ease; } .micro-interaction:hover { transform: scale(1.02); } .micro-interaction:active { transform: scale(0.98); } .micro-interaction.success { background: #22C55E; } .micro-interaction.error { background: #EF4444; }","{""type"":""spring"",""stiffness"":100,""damping"":15}","{""hidden"":{""opacity"":0,""y"":10},""visible"":{""opacity"":1,""y"":0},""hover"":{""y"":-2}}"
"17","Inclusive Design","General","Accessible, color-blind friendly, high contrast, haptic feedback, voice interaction, screen reader, WCAG AAA, universal","WCAG AAA (7:1+ contrast), avoid red-green only, symbol-based indicators, high contrast primary","Supporting patterns (stripes, dots, hatch), symbols, combinations, clear non-color indicators","Haptic feedback (vibration), voice guidance, focus indicators (4px+ ring), motion options, alt content, semantic","Public services, education, healthcare, finance, government, accessible consumer, inclusive","None - accessibility universal","✓ Full","✓ Full","⚡ Excellent","✓ WCAG AAA","✓ High","✓ High","All frameworks 10/10","Universal","Low",".inclusive { font-size: 18px; line-height: 1.6; color: #1A1A1A; } .inclusive:focus-visible { outline: 4px solid #005FCC; outline-offset: 3px; } .inclusive .error { border-left: 4px solid #EF4444; background: url('data:image/svg+xml,...') no-repeat; }","{""type"":""spring"",""stiffness"":100,""damping"":15}","{""hidden"":{""opacity"":0,""y"":10},""visible"":{""opacity"":1,""y"":0},""hover"":{""y"":-2}}"
"18","Zero Interface","General","Minimal visible UI, voice-first, gesture-based, AI-driven, invisible controls, predictive, context-aware, ambient","Neutral backgrounds: Soft white #FAFAFA, light grey #F0F0F0, warm off-white #F5F1E8","Subtle feedback: light green, light red, minimal UI elements, soft accents","Voice recognition UI, gesture detection, AI predictions (smooth reveal), progressive disclosure, smart suggestions","Voice assistants, AI platforms, future-forward UX, smart home, contextual computing, ambient experiences","Complex workflows, data-entry heavy, traditional systems, legacy support, explicit control","✓ Full","✓ Full","⚡ Excellent","✓ Excellent","✓ High","✓ High","Tailwind 10/10, Custom 10/10","2020s AI-Era","Low",".zero-ui { background: #FAFAFA; } .zero-ui .suggestion { opacity: 0; transform: translateY(10px); transition: all 300ms ease; } .zero-ui .suggestion.visible { opacity: 1; transform: translateY(0); } .zero-ui .voice-indicator { animation: pulse 1.5s ease infinite; }","{""type"":""tween"",""ease"":""easeInOut"",""duration"":0.3}","{""hidden"":{""opacity"":0,""y"":10},""visible"":{""opacity"":1,""y"":0},""hover"":{""y"":-2}}"
"19","Soft UI Evolution","General","Evolved soft UI, better contrast, modern aesthetics, subtle depth, accessibility-focused, improved shadows, hybrid","Improved contrast pastels: Soft Blue #87CEEB, Soft Pink #FFB6C1, Soft Green #90EE90, better hierarchy","Better combinations, accessible secondary, supporting with improved contrast, modern accents","Improved shadows (softer than flat, clearer than neumorphism), modern (200-300ms), focus visible, WCAG AA/AAA","Modern enterprise apps, SaaS platforms, health/wellness, modern business tools, professional, hybrid","Extreme minimalism, critical performance, systems without modern OS","✓ Full","✓ Full","⚡ Excellent","✓ WCAG AA+","✓ High","✓ High","Tailwind 9/10, MUI 9/10, Chakra 9/10","2020s Modern","Medium",".soft-ui-evolved { background: #F8FAFC; border-radius: 12px; box-shadow: 0 2px 8px rgba(0,0,0,0.06), 0 1px 2px rgba(0,0,0,0.04); transition: all 250ms ease; } .soft-ui-evolved:hover { box-shadow: 0 4px 12px rgba(0,0,0,0.1); } .soft-ui-evolved:focus-visible { outline: 2px solid #87CEEB; }","{""type"":""spring"",""stiffness"":100,""damping"":15}","{""hidden"":{""opacity"":0,""y"":10},""visible"":{""opacity"":1,""y"":0},""hover"":{""y"":-2}}"
"20","Hero-Centric Design","Landing Page","Large hero section, compelling headline, high-contrast CTA, product showcase, value proposition, hero image/video, dramatic visual","Brand primary color, white/light backgrounds for contrast, accent color for CTA","Supporting colors for secondary CTAs, accent highlights, trust elements (testimonials, logos)","Smooth scroll reveal, fade-in animations on hero, subtle background parallax, CTA glow/pulse effect","SaaS landing pages, product launches, service landing pages, B2B platforms, tech companies","Complex navigation, multi-page experiences, data-heavy applications","✓ Full","✓ Full","⚡ Good","✓ WCAG AA","✓ Full","✓ Very High","Tailwind 10/10, Bootstrap 9/10","2020s Modern","Medium",".hero-section { min-height: 100vh; display: flex; align-items: center; } .hero-section .headline { opacity: 0; animation: fadeInUp 800ms ease forwards; } .hero-section .cta { box-shadow: 0 0 20px rgba(59,130,246,0.5); animation: pulse 2s infinite; } @keyframes fadeInUp { to { opacity: 1; transform: translateY(0); } }","{""type"":""spring"",""stiffness"":100,""damping"":15}","{""hidden"":{""opacity"":0,""y"":10},""visible"":{""opacity"":1,""y"":0},""hover"":{""y"":-2}}"
"21","Conversion-Optimized","Landing Page","Form-focused, minimalist design, single CTA focus, high contrast, urgency elements, trust signals, social proof, clear value","Primary brand color, high-contrast white/light backgrounds, warning/urgency colors for time-limited offers","Secondary CTA color (muted), trust element colors (testimonial highlights), accent for key benefits","Hover states on CTA (color shift, slight scale), form field focus animations, loading spinner, success feedback","E-commerce product pages, free trial signups, lead generation, SaaS pricing pages, limited-time offers","Complex feature explanations, multi-product showcases, technical documentation","✓ Full","✓ Full","⚡ Excellent","✓ WCAG AA","✓ Full (mobile-optimized)","✓ Very High","Tailwind 10/10, Bootstrap 9/10","2020s Modern","Medium",".conversion-cta { background: #3B82F6; color: #FFFFFF; padding: 16px 32px; border-radius: 8px; font-weight: 600; transition: all 200ms ease; box-shadow: 0 4px 14px rgba(59,130,246,0.4); } .conversion-cta:hover { transform: scale(1.05); background: #2563EB; } .conversion-form input:focus { outline: 2px solid #3B82F6; outline-offset: 2px; }","{""type"":""tween"",""ease"":""easeInOut"",""duration"":0.3}","{""hidden"":{""opacity"":0,""y"":10},""visible"":{""opacity"":1,""y"":0},""hover"":{""y"":-2}}"
"22","Feature-Rich Showcase","Landing Page","Multiple feature sections, grid layout, benefit cards, visual feature demonstrations, interactive elements, problem-solution pairs","Primary brand, bright secondary colors for feature cards, contrasting accent for CTAs","Supporting colors for: benefits (green), problems (red/orange), features (blue/purple), social proof (neutral)","Card hover effects (lift/scale), icon animations on scroll, feature toggle animations, smooth section transitions","Enterprise SaaS, software tools landing pages, platform services, complex product explanations, B2B products","Simple product pages, early-stage startups with few features, entertainment landing pages","✓ Full","✓ Full","⚡ Good","✓ WCAG AA","✓ Good","✓ High","Tailwind 10/10, Bootstrap 9/10","2020s Modern","Medium",".feature-card { background: #FFFFFF; border-radius: 12px; padding: 24px; box-shadow: 0 2px 8px rgba(0,0,0,0.08); transition: all 250ms ease; } .feature-card:hover { transform: translateY(-4px); box-shadow: 0 12px 24px rgba(0,0,0,0.12); } .feature-icon { transition: transform 300ms ease; } .feature-card:hover .feature-icon { transform: scale(1.1); }","{""type"":""spring"",""stiffness"":100,""damping"":15}","{""hidden"":{""opacity"":0,""y"":10},""visible"":{""opacity"":1,""y"":0},""hover"":{""y"":-2}}"
"23","Minimal & Direct","Landing Page","Minimal text, white space heavy, single column layout, direct messaging, clean typography, visual-centric, fast-loading","Monochromatic primary, white background, single accent color for CTA, black/dark grey text","Minimal secondary colors, reserved for critical CTAs only, neutral supporting elements","Very subtle hover effects, minimal animations, fast page load (no heavy animations), smooth scroll","Simple service landing pages, indie products, consulting services, micro SaaS, freelancer portfolios","Feature-heavy products, complex explanations, multi-product showcases","✓ Full","✓ Full","⚡ Excellent","✓ WCAG AAA","✓ Full","✓ High","Tailwind 10/10, Bootstrap 10/10","2020s Modern","Low",".minimal-direct { background: #FFFFFF; color: #1A1A1A; max-width: 680px; margin: 0 auto; } .minimal-direct h1 { font-size: clamp(2rem, 5vw, 3.5rem); font-weight: 700; } .minimal-direct a { color: #000000; text-decoration: underline; transition: opacity 150ms; } .minimal-direct a:hover { opacity: 0.7; }","{""type"":""tween"",""ease"":""easeInOut"",""duration"":0.3}","{""hidden"":{""opacity"":0,""y"":10},""visible"":{""opacity"":1,""y"":0},""hover"":{""y"":-2}}"
"24","Social Proof-Focused","Landing Page","Testimonials prominent, client logos displayed, case studies sections, reviews/ratings, user avatars, success metrics, credibility markers","Primary brand, trust colors (blue), success/growth colors (green), neutral backgrounds","Testimonial highlight colors, logo grid backgrounds (light grey), badge/achievement colors","Testimonial carousel animations, logo grid fade-in, stat counter animations (number count-up), review star ratings","B2B SaaS, professional services, premium products, e-commerce conversion pages, established brands","Startup MVPs, products without users, niche/experimental products","✓ Full","✓ Full","⚡ Good","✓ WCAG AA","✓ Full","✓ High","Tailwind 10/10, Bootstrap 9/10","2020s Modern","Medium",".testimonial-card { background: #F8FAFC; border-radius: 12px; padding: 24px; border-left: 4px solid #3B82F6; } .logo-grid { display: grid; gap: 32px; opacity: 0; animation: fadeIn 600ms ease forwards; } .stat-counter { font-size: 3rem; font-weight: 700; color: #22C55E; } @keyframes fadeIn { to { opacity: 1; } }","{""type"":""spring"",""stiffness"":100,""damping"":15}","{""hidden"":{""opacity"":0,""y"":10},""visible"":{""opacity"":1,""y"":0},""hover"":{""y"":-2}}"
