No,Pattern Name,Keywords,Section Order,Primary CTA Placement,Color Strategy,Recommended Effects,Conversion Optimization,Layout_CSS,Grid_System_Config,Bento_Layout_Map,Responsive_Strategy,Platform_Support,Mobile_Adaptation,Safe_Area_CSS,Gesture_Hints
11,AI Personalization Landing,"ai, personalization, smart, recommendation, dynamic","1. Dynamic hero (personalized), 2. Relevant features, 3. Tailored testimonials, 4. Smart CTA",Context-aware placement based on user segment,Adaptive based on user data. A/B test color variations per segment.,"Dynamic content swap, fade transitions, personalized product recommendations",20%+ conversion with personalization. Requires analytics integration. Fallback for new users.,".dynamic-hero { min-height: 100vh; display: flex; align-items: center; } .content-swap { transition: opacity 0.3s ease; } .personalized-grid { display: grid; grid-template-columns: repeat(auto-fit, minmax(280px, 1fr)); gap: 2rem; }","{""cols"":12,""gap"":""2rem"",""container"":""1280px""}","[{""id"":""section"",""colSpan"":12,""rowSpan"":1}]",Desktop: 12-col Grid. Mobile: Single column stack. Order preserved.,both,Adaptive content based on device; touch-optimized recommendations,padding: env(safe-area-inset-top) 16px env(safe-area-inset-bottom);,tap to select; swipe to dismiss
12,Waitlist/Coming Soon,"waitlist, coming-soon, launch, early-access, notify","1. Hero with countdown, 2. Product teaser/preview, 3. Email capture form, 4. Social proof (waitlist count)",Email form prominent (above fold) + Sticky form on scroll,Anticipation: Dark + accent highlights. Countdown in brand color. Urgency indicators.,"Countdown timer animation, email validation feedback, success confetti, social share buttons",Scarcity + exclusivity. Show waitlist count. Early access benefits. Referral program.,.waitlist-hero { min-height: 100vh; display: flex; flex-direction: column; align-items: center; justify-content: center; text-align: center; } .countdown { display: flex; gap: 1.5rem; } .countdown-item { display: flex; flex-direction: column; align-items: center; } .email-form { display: flex; gap: 0.5rem; max-width: 500px; },"{""cols"":12,""gap"":""2rem"",""container"":""1280px""}","[{""id"":""section"",""colSpan"":12,""rowSpan"":1}]",Desktop: 12-col Grid. Mobile: Single column stack. Order preserved.,both,Centered countdown; large touch-friendly email input; social sharing,padding: env(safe-area-inset-top) 16px env(safe-area-inset-bottom);,tap to share; swipe to dismiss keyboard
13,Comparison Table Focus,"comparison, table, versus, compare, features, sticky header, scroll shadow, horizontal scroll mobile, tooltips, feature highlight","1. Hero (problem statement), 2. Comparison matrix (you vs competitors), 3. Feature deep-dive, 4. Winner CTA",After comparison table (highlighted row) + Bottom,Your product column highlighted (accent bg or green). Competitors neutral. Checkmarks green.,"Table row hover highlight, feature checkmark animations, sticky comparison header, scroll shadow indicator, tooltip reveal",Show value vs competitors. 35% higher conversion. Be factual. Include pricing if favorable. Add tooltips for feature explanations.,".comparison-section { overflow-x: auto; -webkit-overflow-scrolling: touch; position: relative; } .comparison-matrix { width: 100%; min-width: 600px; border-collapse: collapse; } .comparison-matrix th { position: sticky; top: 0; background: #fff; z-index: 10; padding: 1rem; } .comparison-matrix.scrolled th { box-shadow: 0 2px 8px rgba(0,0,0,0.1); } .your-product { background: linear-gradient(to bottom, #ecfdf5, #fff); } /* Feature Tooltip */ .feature-info { display: inline-flex; align-items: center; gap: 0.25rem; cursor: help; position: relative; } .feature-tooltip { position: absolute; bottom: 100%; left: 50%; transform: translateX(-50%); background: #1f2937; color: white; padding: 0.5rem 0.75rem; border-radius: 6px; font-size: 0.75rem; white-space: nowrap; opacity: 0; visibility: hidden; transition: all 0.2s; z-index: 20; } .feature-info:hover .feature-tooltip { opacity: 1; visibility: visible; } /* Mobile Scroll Indicator */ @media (max-width: 768px) { .comparison-section::after { content: '→ Scroll'; position: absolute; right: 0; top: 50%; background: linear-gradient(90deg, transparent, rgba(255,255,255,0.95)); padding: 0.5rem 1rem; font-size: 0.75rem; color: #666; pointer-events: none; } .comparison-section.scrolled-right::after { display: none; } }","{""cols"":12,""gap"":""2rem"",""container"":""1280px""}","[{""id"":""section"",""colSpan"":12,""rowSpan"":1}]",Desktop: 12-col Grid. Mobile: Single column stack with horizontal scroll indicator. Order preserved.,both,Horizontal scroll comparison with sticky column; touch cells,padding-bottom: env(safe-area-inset-bottom);,swipe-horizontal; long-press for feature details
14,Pricing-Focused Landing,"pricing, price, cost, plans, subscription, toggle animation, Framer Motion, monthly yearly switch, currency badge, micro-interaction","1. Hero (value proposition), 2. Pricing cards (3 tiers), 3. Feature comparison, 4. FAQ, 5. Final CTA",Each pricing card + Sticky CTA in nav + Bottom,Popular plan highlighted (brand color border/bg). Free: grey. Enterprise: dark/premium.,"Price toggle monthly/annual animation, card hover lift, FAQ accordion smooth open, badge pop animation, price counter scale",Annual discount 20-30%. Recommend mid-tier (most popular badge). Address objections in FAQ.,".pricing-grid { display: grid; grid-template-columns: repeat(3, 1fr); gap: 2rem; } @media (max-width: 768px) { .pricing-grid { grid-template-columns: 1fr; } } .plan-card { padding: 2.5rem; border-radius: 1.5rem; } .plan-popular { border: 2px solid var(--brand); position: relative; } /* Pricing Toggle Animation */ .pricing-toggle { display: flex; align-items: center; gap: 0.5rem; background: rgba(0,0,0,0.05); padding: 4px; border-radius: 9999px; margin: 0 auto 2rem; width: fit-content; } .toggle-btn { padding: 0.5rem 1rem; border-radius: 9999px; border: none; cursor: pointer; transition: all 0.3s cubic-bezier(0.4,0,0.2,1); background: transparent; font-weight: 500; } .toggle-btn.active { background: white; box-shadow: 0 2px 8px rgba(0,0,0,0.1); } .save-badge { background: #10b981; color: white; font-size: 0.75rem; padding: 2px 8px; border-radius: 9999px; animation: badge-pop 0.3s ease-out; margin-left: 0.5rem; } @keyframes badge-pop { from { transform: scale(0.8); opacity: 0; } to { transform: scale(1); opacity: 1; } } /* Price counter animation */ .price-value { transition: transform 0.3s ease; display: inline-block; } .price-value.changing { transform: scale(1.05); }","{""cols"":12,""gap"":""2rem"",""container"":""1280px""}","[{""id"":""section"",""colSpan"":12,""rowSpan"":1}]",Desktop: 12-col Grid. Mobile: Single column stack. Order preserved.,both,Swipeable plan cards; bottom sticky purchase bar; touch-friendly toggle,padding-bottom: calc(env(safe-area-inset-bottom) + 64px);,swipe-horizontal; tap toggle monthly/annual
15,App Store Style Landing,"app, mobile, download, store, install","1. Hero with device mockup, 2. Screenshots carousel, 3. Features with icons, 4. Reviews/ratings, 5. Download CTAs",Download buttons prominent (App Store + Play Store) throughout,Dark/light matching app store feel. Star ratings in gold. Screenshots with device frames.,"Device mockup rotations, screenshot slider, star rating animations, download button pulse",Show real screenshots. Include ratings (4.5+ stars). QR code for mobile. Platform-specific CTAs.,.app-hero { display: grid; grid-template-columns: 1fr 1fr; gap: 4rem; align-items: center; } .device-mockup { max-width: 300px; } .screenshots-carousel { display: flex; gap: 1.5rem; overflow-x: auto; scroll-snap-type: x mandatory; padding: 2rem 0; } .screenshot { scroll-snap-align: center; border-radius: 1rem; },"{""cols"":12,""gap"":""1rem"",""sidebar_width"":""250px"",""mobile_behavior"":""drawer""}","[{""area"":""sidebar"",""colSpan"":2,""rowSpan"":12,""sticky"":true},{""area"":""header"",""colSpan"":10,""rowSpan"":1},{""area"":""content"",""colSpan"":10,""rowSpan"":11}]",Desktop: 12-col Grid. Mobile: Single column stack. Order preserved.,both,Device mockup centered; horizontal screenshot carousel; QR code prominent,padding-bottom: env(safe-area-inset-bottom);,swipe carousel; pinch-to-zoom screenshots; tap QR scan
16,FAQ/Documentation Landing,"faq, documentation, help, support, questions","1. Hero with search bar, 2. Popular categories, 3. FAQ accordion, 4. Contact/support CTA",Search bar prominent + Contact CTA for unresolved questions,"Clean, high readability. Minimal color. Category icons in brand color. Success green for resolved.","Search autocomplete, smooth accordion open/close, category hover, helpful feedback buttons",Reduce support tickets. Track search analytics. Show related articles. Contact escalation path.,".search-hero { padding: 4rem 0; text-align: center; } .search-input { max-width: 600px; width: 100%; padding: 1rem 1.5rem; font-size: 1.125rem; border-radius: 2rem; } .categories-grid { display: grid; grid-template-columns: repeat(auto-fit, minmax(200px, 1fr)); gap: 1.5rem; } .accordion-item { border-bottom: 1px solid #e5e7eb; }","{""cols"":12,""gap"":""2rem"",""container"":""1280px""}","[{""id"":""section"",""colSpan"":12,""rowSpan"":1}]",Desktop: 12-col Grid. Mobile: Single column stack. Order preserved.,,,,
17,Immersive/Interactive Experience,"immersive, interactive, experience, 3d, animation","1. Full-screen interactive element, 2. Guided product tour, 3. Key benefits revealed, 4. CTA after completion",After interaction complete + Skip option for impatient users,Immersive experience colors. Dark background for focus. Highlight interactive elements.,"WebGL, 3D interactions, gamification elements, progress indicators, reward animations",40% higher engagement. Performance trade-off. Provide skip option. Mobile fallback essential.,.immersive-container { position: fixed; inset: 0; background: #000; } .canvas-wrapper { width: 100%; height: 100vh; } .skip-button { position: fixed; bottom: 2rem; right: 2rem; z-index: 100; } .tour-overlay { position: absolute; pointer-events: none; },"{""cols"":12,""gap"":""2rem"",""container"":""1280px""}","[{""id"":""section"",""colSpan"":12,""rowSpan"":1}]",Desktop: 12-col Grid. Mobile: Single column stack. Order preserved.,,,,
18,Event/Conference Landing,"event, conference, meetup, registration, schedule","1. Hero (date/location/countdown), 2. Speakers grid, 3. Agenda/schedule, 4. Sponsors, 5. Register CTA",Register CTA sticky + After speakers + Bottom,Urgency colors (countdown). Event branding. Speaker cards professional. Sponsor logos neutral.,"Countdown timer, speaker hover cards with bio, agenda tabs, early bird countdown",Early bird pricing with deadline. Social proof (past attendees). Speaker credibility. Multi-ticket discounts.,".event-hero { min-height: 80vh; display: flex; flex-direction: column; justify-content: center; text-align: center; } .speakers-grid { display: grid; grid-template-columns: repeat(auto-fit, minmax(250px, 1fr)); gap: 2rem; } .agenda-tabs { display: flex; gap: 1rem; margin-bottom: 2rem; } .sponsors-row { display: flex; flex-wrap: wrap; justify-content: center; gap: 3rem; align-items: center; }","{""cols"":12,""gap"":""2rem"",""container"":""1280px""}","[{""id"":""section"",""colSpan"":12,""rowSpan"":1}]",Desktop: 12-col Grid. Mobile: Single column stack. Order preserved.,,,,
19,Product Review/Ratings Focused,"reviews, ratings, testimonials, social-proof, stars","1. Hero (product + aggregate rating), 2. Rating breakdown, 3. Individual reviews, 4. Buy/CTA",After reviews summary + Buy button alongside reviews,Trust colors. Star ratings gold. Verified badge green. Review sentiment colors.,"Star fill animations, review filtering, helpful vote interactions, photo lightbox",User-generated content builds trust. Show verified purchases. Filter by rating. Respond to negative reviews.,.product-hero { display: grid; grid-template-columns: 1fr 1fr; gap: 3rem; } .rating-breakdown { display: flex; flex-direction: column; gap: 0.5rem; } .rating-bar { display: flex; align-items: center; gap: 1rem; } .reviews-list { display: flex; flex-direction: column; gap: 1.5rem; },"{""cols"":12,""gap"":""2rem"",""container"":""1280px""}","[{""id"":""section"",""colSpan"":12,""rowSpan"":1}]",Desktop: 12-col Grid. Mobile: Single column stack. Order preserved.,,,,
20,Community/Forum Landing,"community, forum, social, members, discussion","1. Hero (community value prop), 2. Popular topics/categories, 3. Active members showcase, 4. Join CTA",Join button prominent + After member showcase,"Warm, welcoming. Member photos add humanity. Topic badges in brand colors. Activity indicators green.","Member avatars animation, activity feed live updates, topic hover previews, join success celebration","Show active community (member count, posts today). Highlight benefits. Preview content. Easy onboarding.",".community-hero { min-height: 70vh; display: flex; align-items: center; } .topics-grid { display: grid; grid-template-columns: repeat(auto-fit, minmax(280px, 1fr)); gap: 1.5rem; } .members-showcase { display: flex; } .avatar-stack { display: flex; } .avatar-stack img { margin-left: -0.75rem; border: 2px solid #fff; border-radius: 50%; }","{""cols"":12,""gap"":""2rem"",""container"":""1280px""}","[{""id"":""section"",""colSpan"":12,""rowSpan"":1}]",Desktop: 12-col Grid. Mobile: Single column stack. Order preserved.,,,,
21,Before-After Transformation,"before-after, transformation, results, comparison","1. Hero (problem state), 2. Transformation slider/comparison, 3. How it works, 4. Results CTA",After transformation reveal + Bottom,Contrast: muted/grey (before) vs vibrant/colorful (after). Success green for results.,"Slider comparison interaction, before/after reveal animations, result counters, testimonial videos",Visual proof of value. 45% higher conversion. Real results. Specific metrics. Guarantee offer.,".comparison-slider { position: relative; overflow: hidden; } .comparison-slider img { display: block; width: 100%; } .slider-handle { position: absolute; top: 0; bottom: 0; width: 4px; background: #fff; cursor: ew-resize; } .results-grid { display: grid; grid-template-columns: repeat(3, 1fr); gap: 2rem; text-align: center; }","{""cols"":12,""gap"":""2rem"",""container"":""1280px""}","[{""id"":""section"",""colSpan"":12,""rowSpan"":1}]",Desktop: 12-col Grid. Mobile: Single column stack. Order preserved.,,,,
22,Marketplace / Directory,"marketplace, directory, search, listing","1. Hero (Search focused), 2. Categories, 3. Featured Listings, 4. Trust/Safety, 5. CTA (Become a host/seller)",Hero Search Bar + Navbar 'List your item',Search: High contrast. Categories: Visual icons. Trust: Blue/Green.,"Search autocomplete animation, map hover pins, card carousel",Search bar is the CTA. Reduce friction to search. Popular searches suggestions.,".marketplace-hero { padding: 6rem 0; text-align: center; } .search-bar { display: flex; max-width: 700px; margin: 0 auto; } .categories-scroll { display: flex; gap: 1rem; overflow-x: auto; padding: 1rem 0; } .listings-grid { display: grid; grid-template-columns: repeat(auto-fill, minmax(280px, 1fr)); gap: 1.5rem; }","{""cols"":12,""gap"":""2rem"",""container"":""1280px""}","[{""id"":""section"",""colSpan"":12,""rowSpan"":1}]",Desktop: 12-col Grid. Mobile: Single column stack. Order preserved.,,,,
